date,number_of_checks-no_verification,os-se,count-nombre
2021-03-05,1-6,android,549392
2021-03-05,1-6,ios,1658574
2021-03-05,7-12,android,37023
2021-03-05,7-12,ios,678496
2021-03-05,13-30,android,136
2021-03-05,13-30,ios,29
2021-03-05,30+,android,<20
2021-03-05,30+,ios,<20
2021-03-06,0,android,<20
2021-03-06,0,ios,<20
2021-03-06,1-6,android,548077
2021-03-06,1-6,ios,1653891
2021-03-06,7-12,android,36532
2021-03-06,7-12,ios,678488
2021-03-06,13-30,android,96
2021-03-06,13-30,ios,<20
2021-03-06,30+,android,<20
2021-03-06,30+,ios,<20
2021-03-07,0,android,<20
2021-03-07,0,ios,<20
2021-03-07,1-6,android,552219
2021-03-07,1-6,ios,1663891
2021-03-07,7-12,android,36125
2021-03-07,7-12,ios,668435
2021-03-07,13-30,android,109
2021-03-07,13-30,ios,23
2021-03-07,30+,android,<20
2021-03-07,30+,ios,<20
2021-03-08,0,android,<20
2021-03-08,0,ios,<20
2021-03-08,1-6,android,558383
2021-03-08,1-6,ios,1628225
2021-03-08,7-12,android,35759
2021-03-08,7-12,ios,710032
2021-03-08,13-30,android,83
2021-03-08,13-30,ios,39
2021-03-08,30+,android,<20
2021-03-08,30+,ios,<20
2021-03-09,0,android,<20
2021-03-09,0,ios,<20
2021-03-09,1-6,android,560569
2021-03-09,1-6,ios,1599498
2021-03-09,7-12,android,36060
2021-03-09,7-12,ios,741198
2021-03-09,13-30,android,101
2021-03-09,13-30,ios,52
2021-03-09,30+,android,<20
2021-03-09,30+,ios,<20
2021-03-10,0,android,<20
2021-03-10,0,ios,<20
2021-03-10,1-6,android,565132
2021-03-10,1-6,ios,1610135
2021-03-10,7-12,android,35704
2021-03-10,7-12,ios,731680
2021-03-10,13-30,android,80
2021-03-10,13-30,ios,50
2021-03-10,30+,android,<20
2021-03-10,30+,ios,<20
2021-03-11,0,android,<20
2021-03-11,0,ios,<20
2021-03-11,1-6,android,567066
2021-03-11,1-6,ios,1614124
2021-03-11,7-12,android,35863
2021-03-11,7-12,ios,729050
2021-03-11,13-30,android,92
2021-03-11,13-30,ios,33
2021-03-11,30+,android,<20
2021-03-11,30+,ios,<20
2021-03-12,0,android,<20
2021-03-12,0,ios,<20
2021-03-12,1-6,android,572386
2021-03-12,1-6,ios,1613460
2021-03-12,7-12,android,36159
2021-03-12,7-12,ios,729986
2021-03-12,13-30,android,75
2021-03-12,13-30,ios,37
2021-03-12,30+,android,<20
2021-03-12,30+,ios,<20
2021-03-13,0,android,<20
2021-03-13,0,ios,<20
2021-03-13,1-6,android,566188
2021-03-13,1-6,ios,1611311
2021-03-13,7-12,android,35453
2021-03-13,7-12,ios,728553
2021-03-13,13-30,android,67
2021-03-13,13-30,ios,40
2021-03-13,30+,android,<20
2021-03-13,30+,ios,<20
2021-03-14,0,android,<20
2021-03-14,0,ios,<20
2021-03-14,1-6,android,566079
2021-03-14,1-6,ios,1600373
2021-03-14,7-12,android,35061
2021-03-14,7-12,ios,736491
2021-03-14,13-30,android,71
2021-03-14,13-30,ios,37
2021-03-14,30+,android,<20
2021-03-14,30+,ios,<20
2021-03-15,0,android,<20
2021-03-15,0,ios,<20
2021-03-15,1-6,android,569994
2021-03-15,1-6,ios,1575483
2021-03-15,7-12,android,35742
2021-03-15,7-12,ios,765729
2021-03-15,13-30,android,63
2021-03-15,13-30,ios,39
2021-03-15,30+,android,<20
2021-03-15,30+,ios,<20
2021-03-16,0,android,<20
2021-03-16,0,ios,<20
2021-03-16,1-6,android,567137
2021-03-16,1-6,ios,1539168
2021-03-16,7-12,android,36293
2021-03-16,7-12,ios,803229
2021-03-16,13-30,android,71
2021-03-16,13-30,ios,40
2021-03-16,30+,android,<20
2021-03-16,30+,ios,<20
2021-03-17,0,android,<20
2021-03-17,0,ios,<20
2021-03-17,1-6,android,570250
2021-03-17,1-6,ios,1556139
2021-03-17,7-12,android,36037
2021-03-17,7-12,ios,783210
2021-03-17,13-30,android,50
2021-03-17,13-30,ios,37
2021-03-17,30+,android,<20
2021-03-17,30+,ios,<20
2021-03-18,0,android,<20
2021-03-18,0,ios,<20
2021-03-18,1-6,android,572920
2021-03-18,1-6,ios,1562640
2021-03-18,7-12,android,35650
2021-03-18,7-12,ios,775298
2021-03-18,13-30,android,60
2021-03-18,13-30,ios,36
2021-03-18,30+,android,<20
2021-03-18,30+,ios,<20
2021-03-19,0,android,<20
2021-03-19,0,ios,<20
2021-03-19,1-6,android,572476
2021-03-19,1-6,ios,1554590
2021-03-19,7-12,android,35537
2021-03-19,7-12,ios,784012
2021-03-19,13-30,android,70
2021-03-19,13-30,ios,36
2021-03-19,30+,android,<20
2021-03-19,30+,ios,<20
2021-03-20,0,android,<20
2021-03-20,0,ios,<20
2021-03-20,1-6,android,565353
2021-03-20,1-6,ios,1548864
2021-03-20,7-12,android,35223
2021-03-20,7-12,ios,785987
2021-03-20,13-30,android,58
2021-03-20,13-30,ios,28
2021-03-20,30+,android,<20
2021-03-20,30+,ios,<20
2021-03-21,0,android,<20
2021-03-21,0,ios,<20
2021-03-21,1-6,android,564190
2021-03-21,1-6,ios,1565983
2021-03-21,7-12,android,34858
2021-03-21,7-12,ios,768584
2021-03-21,13-30,android,44
2021-03-21,13-30,ios,22
2021-03-21,30+,android,<20
2021-03-21,30+,ios,<20
2021-03-22,0,android,<20
2021-03-22,0,ios,<20
2021-03-22,1-6,android,574306
2021-03-22,1-6,ios,1577264
2021-03-22,7-12,android,34834
2021-03-22,7-12,ios,761557
2021-03-22,13-30,android,49
2021-03-22,13-30,ios,29
2021-03-22,30+,android,<20
2021-03-22,30+,ios,<20
2021-03-23,0,android,<20
2021-03-23,0,ios,<20
2021-03-23,1-6,android,573564
2021-03-23,1-6,ios,1536128
2021-03-23,7-12,android,35342
2021-03-23,7-12,ios,803298
2021-03-23,13-30,android,45
2021-03-23,13-30,ios,27
2021-03-23,30+,android,<20
2021-03-23,30+,ios,<20
2021-03-24,0,android,<20
2021-03-24,0,ios,<20
2021-03-24,1-6,android,582878
2021-03-24,1-6,ios,1540292
2021-03-24,7-12,android,35260
2021-03-24,7-12,ios,799032
2021-03-24,13-30,android,53
2021-03-24,13-30,ios,30
2021-03-24,30+,android,<20
2021-03-24,30+,ios,<20
2021-03-25,0,android,<20
2021-03-25,0,ios,<20
2021-03-25,1-6,android,592936
2021-03-25,1-6,ios,1540534
2021-03-25,7-12,android,35812
2021-03-25,7-12,ios,799410
2021-03-25,13-30,android,40
2021-03-25,13-30,ios,34
2021-03-25,30+,android,<20
2021-03-25,30+,ios,<20
2021-03-26,0,android,<20
2021-03-26,0,ios,<20
2021-03-26,1-6,android,595509
2021-03-26,1-6,ios,1539499
2021-03-26,7-12,android,35758
2021-03-26,7-12,ios,799465
2021-03-26,13-30,android,47
2021-03-26,13-30,ios,36
2021-03-26,30+,android,<20
2021-03-26,30+,ios,<20
2021-03-27,0,android,<20
2021-03-27,0,ios,<20
2021-03-27,1-6,android,590337
2021-03-27,1-6,ios,1531382
2021-03-27,7-12,android,35420
2021-03-27,7-12,ios,802229
2021-03-27,13-30,android,39
2021-03-27,13-30,ios,27
2021-03-27,30+,android,<20
2021-03-27,30+,ios,<20
2021-03-28,0,android,<20
2021-03-28,0,ios,<20
2021-03-28,1-6,android,590914
2021-03-28,1-6,ios,1540480
2021-03-28,7-12,android,35058
2021-03-28,7-12,ios,788632
2021-03-28,13-30,android,36
2021-03-28,13-30,ios,27
2021-03-28,30+,android,<20
2021-03-28,30+,ios,<20
2021-03-29,0,android,<20
2021-03-29,0,ios,<20
2021-03-29,1-6,android,599535
2021-03-29,1-6,ios,1530017
2021-03-29,7-12,android,36006
2021-03-29,7-12,ios,802154
2021-03-29,13-30,android,38
2021-03-29,13-30,ios,29
2021-03-29,30+,android,<20
2021-03-29,30+,ios,<20
2021-03-30,0,android,<20
2021-03-30,0,ios,<20
2021-03-30,1-6,android,601196
2021-03-30,1-6,ios,1513388
2021-03-30,7-12,android,36032
2021-03-30,7-12,ios,819958
2021-03-30,13-30,android,47
2021-03-30,13-30,ios,38
2021-03-30,30+,android,<20
2021-03-30,30+,ios,<20
2021-03-31,0,android,<20
2021-03-31,0,ios,<20
2021-03-31,1-6,android,604640
2021-03-31,1-6,ios,1524927
2021-03-31,7-12,android,35419
2021-03-31,7-12,ios,808393
2021-03-31,13-30,android,48
2021-03-31,13-30,ios,36
2021-03-31,30+,android,<20
2021-03-31,30+,ios,<20
2021-04-01,0,android,<20
2021-04-01,0,ios,<20
2021-04-01,1-6,android,609001
2021-04-01,1-6,ios,1526628
2021-04-01,7-12,android,35859
2021-04-01,7-12,ios,807378
2021-04-01,13-30,android,46
2021-04-01,13-30,ios,27
2021-04-01,30+,android,<20
2021-04-01,30+,ios,<20
2021-04-02,0,android,<20
2021-04-02,0,ios,<20
2021-04-02,1-6,android,603884
2021-04-02,1-6,ios,1523862
2021-04-02,7-12,android,35759
2021-04-02,7-12,ios,806943
2021-04-02,13-30,android,50
2021-04-02,13-30,ios,32
2021-04-02,30+,android,<20
2021-04-02,30+,ios,<20
2021-04-03,0,android,<20
2021-04-03,0,ios,<20
2021-04-03,1-6,android,602995
2021-04-03,1-6,ios,1517836
2021-04-03,7-12,android,35990
2021-04-03,7-12,ios,810250
2021-04-03,13-30,android,50
2021-04-03,13-30,ios,29
2021-04-03,30+,android,<20
2021-04-03,30+,ios,<20
2021-04-04,0,android,<20
2021-04-04,0,ios,<20
2021-04-04,1-6,android,606564
2021-04-04,1-6,ios,1553652
2021-04-04,7-12,android,35250
2021-04-04,7-12,ios,773587
2021-04-04,13-30,android,50
2021-04-04,13-30,ios,<20
2021-04-04,30+,android,<20
2021-04-04,30+,ios,<20
2021-04-05,0,android,<20
2021-04-05,0,ios,<20
2021-04-05,1-6,android,614889
2021-04-05,1-6,ios,1548331
2021-04-05,7-12,android,35630
2021-04-05,7-12,ios,783213
2021-04-05,13-30,android,39
2021-04-05,13-30,ios,23
2021-04-05,30+,android,<20
2021-04-05,30+,ios,<20
2021-04-06,0,android,<20
2021-04-06,0,ios,<20
2021-04-06,1-6,android,620982
2021-04-06,1-6,ios,1523694
2021-04-06,7-12,android,36293
2021-04-06,7-12,ios,812702
2021-04-06,13-30,android,40
2021-04-06,13-30,ios,<20
2021-04-06,30+,android,<20
2021-04-06,30+,ios,<20
2021-04-07,0,android,<20
2021-04-07,0,ios,<20
2021-04-07,1-6,android,626898
2021-04-07,1-6,ios,1525954
2021-04-07,7-12,android,35629
2021-04-07,7-12,ios,810977
2021-04-07,13-30,android,43
2021-04-07,13-30,ios,23
2021-04-07,30+,android,<20
2021-04-07,30+,ios,<20
2021-04-08,0,android,<20
2021-04-08,0,ios,<20
2021-04-08,1-6,android,634583
2021-04-08,1-6,ios,1526768
2021-04-08,7-12,android,35419
2021-04-08,7-12,ios,809588
2021-04-08,13-30,android,37
2021-04-08,13-30,ios,22
2021-04-08,30+,android,<20
2021-04-08,30+,ios,<20
2021-04-09,0,android,<20
2021-04-09,0,ios,<20
2021-04-09,1-6,android,634186
2021-04-09,1-6,ios,1522831
2021-04-09,7-12,android,35583
2021-04-09,7-12,ios,811730
2021-04-09,13-30,android,41
2021-04-09,13-30,ios,31
2021-04-09,30+,android,<20
2021-04-09,30+,ios,<20
2021-04-10,0,android,<20
2021-04-10,0,ios,<20
2021-04-10,1-6,android,632637
2021-04-10,1-6,ios,1505046
2021-04-10,7-12,android,35499
2021-04-10,7-12,ios,825361
2021-04-10,13-30,android,32
2021-04-10,13-30,ios,24
2021-04-10,30+,android,<20
2021-04-10,30+,ios,<20
2021-04-11,0,android,<20
2021-04-11,0,ios,<20
2021-04-11,1-6,android,635377
2021-04-11,1-6,ios,1546263
2021-04-11,7-12,android,35115
2021-04-11,7-12,ios,783720
2021-04-11,13-30,android,38
2021-04-11,13-30,ios,<20
2021-04-11,30+,android,<20
2021-04-11,30+,ios,<20
2021-04-12,0,android,<20
2021-04-12,0,ios,<20
2021-04-12,1-6,android,645728
2021-04-12,1-6,ios,1549251
2021-04-12,7-12,android,36416
2021-04-12,7-12,ios,785595
2021-04-12,13-30,android,38
2021-04-12,13-30,ios,27
2021-04-12,30+,android,<20
2021-04-12,30+,ios,<20
2021-04-13,0,android,<20
2021-04-13,0,ios,<20
2021-04-13,1-6,android,647071
2021-04-13,1-6,ios,1516693
2021-04-13,7-12,android,37167
2021-04-13,7-12,ios,819686
2021-04-13,13-30,android,46
2021-04-13,13-30,ios,31
2021-04-13,30+,android,<20
2021-04-13,30+,ios,<20
2021-04-14,0,android,<20
2021-04-14,0,ios,<20
2021-04-14,1-6,android,647243
2021-04-14,1-6,ios,1501325
2021-04-14,7-12,android,36759
2021-04-14,7-12,ios,835487
2021-04-14,13-30,android,29
2021-04-14,13-30,ios,35
2021-04-14,30+,android,<20
2021-04-14,30+,ios,<20
2021-04-15,0,android,<20
2021-04-15,0,ios,<20
2021-04-15,1-6,android,647000
2021-04-15,1-6,ios,1469471
2021-04-15,7-12,android,37791
2021-04-15,7-12,ios,868569
2021-04-15,13-30,android,48
2021-04-15,13-30,ios,66
2021-04-15,30+,android,<20
2021-04-15,30+,ios,<20
2021-04-16,0,android,<20
2021-04-16,0,ios,<20
2021-04-16,1-6,android,648555
2021-04-16,1-6,ios,1487159
2021-04-16,7-12,android,37656
2021-04-16,7-12,ios,851032
2021-04-16,13-30,android,36
2021-04-16,13-30,ios,68
2021-04-16,30+,android,<20
2021-04-16,30+,ios,<20
2021-04-17,0,android,<20
2021-04-17,0,ios,<20
2021-04-17,1-6,android,643186
2021-04-17,1-6,ios,1488592
2021-04-17,7-12,android,37220
2021-04-17,7-12,ios,845005
2021-04-17,13-30,android,47
2021-04-17,13-30,ios,80
2021-04-17,30+,android,<20
2021-04-17,30+,ios,<20
2021-04-18,0,android,<20
2021-04-18,0,ios,<20
2021-04-18,1-6,android,646862
2021-04-18,1-6,ios,1503826
2021-04-18,7-12,android,37052
2021-04-18,7-12,ios,829236
2021-04-18,13-30,android,40
2021-04-18,13-30,ios,87
2021-04-18,30+,android,<20
2021-04-18,30+,ios,<20
2021-04-19,0,android,<20
2021-04-19,0,ios,<20
2021-04-19,1-6,android,654937
2021-04-19,1-6,ios,1514962
2021-04-19,7-12,android,38161
2021-04-19,7-12,ios,824097
2021-04-19,13-30,android,43
2021-04-19,13-30,ios,64
2021-04-19,30+,android,<20
2021-04-19,30+,ios,<20
2021-04-20,0,android,<20
2021-04-20,0,ios,<20
2021-04-20,1-6,android,654214
2021-04-20,1-6,ios,1523930
2021-04-20,7-12,android,37430
2021-04-20,7-12,ios,813961
2021-04-20,13-30,android,44
2021-04-20,13-30,ios,60
2021-04-20,30+,android,<20
2021-04-20,30+,ios,<20
2021-04-21,0,android,<20
2021-04-21,0,ios,<20
2021-04-21,1-6,android,656257
2021-04-21,1-6,ios,1458870
2021-04-21,7-12,android,37584
2021-04-21,7-12,ios,878194
2021-04-21,13-30,android,32
2021-04-21,13-30,ios,60
2021-04-21,30+,android,<20
2021-04-21,30+,ios,<20
2021-04-22,0,android,<20
2021-04-22,0,ios,<20
2021-04-22,1-6,android,656350
2021-04-22,1-6,ios,1481164
2021-04-22,7-12,android,38477
2021-04-22,7-12,ios,855485
2021-04-22,13-30,android,38
2021-04-22,13-30,ios,70
2021-04-22,30+,android,<20
2021-04-22,30+,ios,<20
2021-04-23,0,android,<20
2021-04-23,0,ios,<20
2021-04-23,1-6,android,656761
2021-04-23,1-6,ios,1482661
2021-04-23,7-12,android,37623
2021-04-23,7-12,ios,852734
2021-04-23,13-30,android,41
2021-04-23,13-30,ios,67
2021-04-23,30+,android,<20
2021-04-23,30+,ios,<20
2021-04-24,0,android,<20
2021-04-24,0,ios,<20
2021-04-24,1-6,android,650684
2021-04-24,1-6,ios,1483305
2021-04-24,7-12,android,36553
2021-04-24,7-12,ios,846566
2021-04-24,13-30,android,30
2021-04-24,13-30,ios,79
2021-04-24,30+,android,<20
2021-04-24,30+,ios,<20
2021-04-25,0,android,<20
2021-04-25,0,ios,<20
2021-04-25,1-6,android,651170
2021-04-25,1-6,ios,1503891
2021-04-25,7-12,android,36725
2021-04-25,7-12,ios,824988
2021-04-25,13-30,android,36
2021-04-25,13-30,ios,71
2021-04-25,30+,android,<20
2021-04-25,30+,ios,<20
2021-04-26,0,android,<20
2021-04-26,0,ios,<20
2021-04-26,1-6,android,657293
2021-04-26,1-6,ios,1506919
2021-04-26,7-12,android,38060
2021-04-26,7-12,ios,825715
2021-04-26,13-30,android,33
2021-04-26,13-30,ios,75
2021-04-26,30+,android,<20
2021-04-26,30+,ios,<20
2021-04-27,0,android,<20
2021-04-27,0,ios,<20
2021-04-27,1-6,android,644189
2021-04-27,1-6,ios,1351730
2021-04-27,7-12,android,51801
2021-04-27,7-12,ios,981306
2021-04-27,13-30,android,102
2021-04-27,13-30,ios,410
2021-04-27,30+,android,<20
2021-04-27,30+,ios,<20
2021-04-28,0,android,<20
2021-04-28,0,ios,<20
2021-04-28,1-6,android,626324
2021-04-28,1-6,ios,760030
2021-04-28,7-12,android,69374
2021-04-28,7-12,ios,1571015
2021-04-28,13-30,android,238
2021-04-28,13-30,ios,4419
2021-04-28,30+,android,<20
2021-04-28,30+,ios,<20
2021-04-29,0,android,<20
2021-04-29,0,ios,<20
2021-04-29,1-6,android,620865
2021-04-29,1-6,ios,561255
2021-04-29,7-12,android,73910
2021-04-29,7-12,ios,1768451
2021-04-29,13-30,android,279
2021-04-29,13-30,ios,6034
2021-04-29,30+,android,<20
2021-04-29,30+,ios,<20
2021-04-30,0,android,<20
2021-04-30,0,ios,<20
2021-04-30,1-6,android,620221
2021-04-30,1-6,ios,524755
2021-04-30,7-12,android,75974
2021-04-30,7-12,ios,1803215
2021-04-30,13-30,android,247
2021-04-30,13-30,ios,6230
2021-04-30,30+,android,<20
2021-04-30,30+,ios,<20
2021-05-01,0,android,<20
2021-05-01,0,ios,<20
2021-05-01,1-6,android,611803
2021-05-01,1-6,ios,510147
2021-05-01,7-12,android,76286
2021-05-01,7-12,ios,1811112
2021-05-01,13-30,android,291
2021-05-01,13-30,ios,6283
2021-05-01,30+,android,<20
2021-05-01,30+,ios,<20
2021-05-02,0,android,<20
2021-05-02,0,ios,<20
2021-05-02,1-6,android,612428
2021-05-02,1-6,ios,518569
2021-05-02,7-12,android,76756
2021-05-02,7-12,ios,1800615
2021-05-02,13-30,android,252
2021-05-02,13-30,ios,6012
2021-05-02,30+,android,<20
2021-05-02,30+,ios,<20
2021-05-03,0,android,<20
2021-05-03,0,ios,<20
2021-05-03,1-6,android,620673
2021-05-03,1-6,ios,509348
2021-05-03,7-12,android,77506
2021-05-03,7-12,ios,1813399
2021-05-03,13-30,android,266
2021-05-03,13-30,ios,6358
2021-05-03,30+,android,<20
2021-05-03,30+,ios,<20
2021-05-04,0,android,<20
2021-05-04,0,ios,<20
2021-05-04,1-6,android,618400
2021-05-04,1-6,ios,480481
2021-05-04,7-12,android,78236
2021-05-04,7-12,ios,1842172
2021-05-04,13-30,android,309
2021-05-04,13-30,ios,6538
2021-05-04,30+,android,<20
2021-05-04,30+,ios,<20
2021-05-05,0,android,<20
2021-05-05,0,ios,<20
2021-05-05,1-6,android,617744
2021-05-05,1-6,ios,477173
2021-05-05,7-12,android,78010
2021-05-05,7-12,ios,1844374
2021-05-05,13-30,android,322
2021-05-05,13-30,ios,6509
2021-05-05,30+,android,<20
2021-05-05,30+,ios,<20
2021-05-06,0,android,<20
2021-05-06,0,ios,<20
2021-05-06,1-6,android,619544
2021-05-06,1-6,ios,475717
2021-05-06,7-12,android,77917
2021-05-06,7-12,ios,1844242
2021-05-06,13-30,android,289
2021-05-06,13-30,ios,6494
2021-05-06,30+,android,<20
2021-05-06,30+,ios,<20
2021-05-07,0,android,<20
2021-05-07,0,ios,<20
2021-05-07,1-6,android,620421
2021-05-07,1-6,ios,474825
2021-05-07,7-12,android,76973
2021-05-07,7-12,ios,1843197
2021-05-07,13-30,android,253
2021-05-07,13-30,ios,6347
2021-05-07,30+,android,<20
2021-05-07,30+,ios,<20
2021-05-08,0,android,<20
2021-05-08,0,ios,<20
2021-05-08,1-6,android,614243
2021-05-08,1-6,ios,470218
2021-05-08,7-12,android,75554
2021-05-08,7-12,ios,1839968
2021-05-08,13-30,android,239
2021-05-08,13-30,ios,6443
2021-05-08,30+,android,<20
2021-05-08,30+,ios,<20
2021-05-09,0,android,<20
2021-05-09,0,ios,<20
2021-05-09,1-6,android,615003
2021-05-09,1-6,ios,483192
2021-05-09,7-12,android,75780
2021-05-09,7-12,ios,1826258
2021-05-09,13-30,android,223
2021-05-09,13-30,ios,6145
2021-05-09,30+,android,<20
2021-05-09,30+,ios,<20
2021-05-10,0,android,<20
2021-05-10,0,ios,<20
2021-05-10,1-6,android,619729
2021-05-10,1-6,ios,482364
2021-05-10,7-12,android,76454
2021-05-10,7-12,ios,1829992
2021-05-10,13-30,android,218
2021-05-10,13-30,ios,6183
2021-05-10,30+,android,<20
2021-05-10,30+,ios,<20
2021-05-11,0,android,<20
2021-05-11,0,ios,<20
2021-05-11,1-6,android,616440
2021-05-11,1-6,ios,461793
2021-05-11,7-12,android,75996
2021-05-11,7-12,ios,1849970
2021-05-11,13-30,android,257
2021-05-11,13-30,ios,6304
2021-05-11,30+,android,<20
2021-05-11,30+,ios,<20
2021-05-12,0,android,<20
2021-05-12,0,ios,<20
2021-05-12,1-6,android,617539
2021-05-12,1-6,ios,456778
2021-05-12,7-12,android,75705
2021-05-12,7-12,ios,1852332
2021-05-12,13-30,android,226
2021-05-12,13-30,ios,6508
2021-05-12,30+,android,<20
2021-05-12,30+,ios,<20
2021-05-13,0,android,<20
2021-05-13,0,ios,<20
2021-05-13,1-6,android,616122
2021-05-13,1-6,ios,458562
2021-05-13,7-12,android,75679
2021-05-13,7-12,ios,1848625
2021-05-13,13-30,android,245
2021-05-13,13-30,ios,6426
2021-05-13,30+,android,<20
2021-05-13,30+,ios,<20
2021-05-14,0,android,<20
2021-05-14,0,ios,<20
2021-05-14,1-6,android,616862
2021-05-14,1-6,ios,460892
2021-05-14,7-12,android,74667
2021-05-14,7-12,ios,1844034
2021-05-14,13-30,android,246
2021-05-14,13-30,ios,6259
2021-05-14,30+,android,<20
2021-05-14,30+,ios,<20
2021-05-15,0,android,<20
2021-05-15,0,ios,<20
2021-05-15,1-6,android,607030
2021-05-15,1-6,ios,463138
2021-05-15,7-12,android,73462
2021-05-15,7-12,ios,1831750
2021-05-15,13-30,android,233
2021-05-15,13-30,ios,6099
2021-05-15,30+,android,<20
2021-05-15,30+,ios,<20
2021-05-16,0,android,<20
2021-05-16,0,ios,<20
2021-05-16,1-6,android,609905
2021-05-16,1-6,ios,485037
2021-05-16,7-12,android,73280
2021-05-16,7-12,ios,1808352
2021-05-16,13-30,android,237
2021-05-16,13-30,ios,6006
2021-05-16,30+,android,<20
2021-05-16,30+,ios,<20
2021-05-17,0,android,<20
2021-05-17,0,ios,<20
2021-05-17,1-6,android,618224
2021-05-17,1-6,ios,484244
2021-05-17,7-12,android,73412
2021-05-17,7-12,ios,1812527
2021-05-17,13-30,android,204
2021-05-17,13-30,ios,5983
2021-05-17,30+,android,<20
2021-05-17,30+,ios,<20
2021-05-18,0,android,<20
2021-05-18,0,ios,<20
2021-05-18,1-6,android,616350
2021-05-18,1-6,ios,455146
2021-05-18,7-12,android,73348
2021-05-18,7-12,ios,1840474
2021-05-18,13-30,android,217
2021-05-18,13-30,ios,6198
2021-05-18,30+,android,<20
2021-05-18,30+,ios,<20
2021-05-19,0,android,<20
2021-05-19,0,ios,<20
2021-05-19,1-6,android,616871
2021-05-19,1-6,ios,450950
2021-05-19,7-12,android,73489
2021-05-19,7-12,ios,1841793
2021-05-19,13-30,android,235
2021-05-19,13-30,ios,6257
2021-05-19,30+,android,<20
2021-05-19,30+,ios,<20
2021-05-20,0,android,<20
2021-05-20,0,ios,<20
2021-05-20,1-6,android,617060
2021-05-20,1-6,ios,454249
2021-05-20,7-12,android,73310
2021-05-20,7-12,ios,1833471
2021-05-20,13-30,android,235
2021-05-20,13-30,ios,6142
2021-05-20,30+,android,<20
2021-05-20,30+,ios,<20
2021-05-21,0,android,<20
2021-05-21,0,ios,<20
2021-05-21,1-6,android,618840
2021-05-21,1-6,ios,475356
2021-05-21,7-12,android,69459
2021-05-21,7-12,ios,1804782
2021-05-21,13-30,android,217
2021-05-21,13-30,ios,6101
2021-05-21,30+,android,<20
2021-05-21,30+,ios,<20
2021-05-22,0,android,<20
2021-05-22,0,ios,<20
2021-05-22,1-6,android,609355
2021-05-22,1-6,ios,472210
2021-05-22,7-12,android,68686
2021-05-22,7-12,ios,1793564
2021-05-22,13-30,android,194
2021-05-22,13-30,ios,5967
2021-05-22,30+,android,<20
2021-05-22,30+,ios,<20
2021-05-23,0,android,<20
2021-05-23,0,ios,<20
2021-05-23,1-6,android,606384
2021-05-23,1-6,ios,510121
2021-05-23,7-12,android,69282
2021-05-23,7-12,ios,1746163
2021-05-23,13-30,android,178
2021-05-23,13-30,ios,5643
2021-05-23,30+,android,<20
2021-05-23,30+,ios,<20
2021-05-24,0,android,<20
2021-05-24,0,ios,<20
